Time;Fitness;Cache Size;N;population_dim;tournament_size;crossing_probability;mutation_probability;exchange_num;steps
10.899292707443237;4;300;12;100;3;0.85;0.05;2;300
10.491676330566406;2;300;12;100;3;0.85;0.05;2;300
10.5357027053833;8;300;12;100;3;0.85;0.05;2;300
10.436161756515503;4;300;12;100;3;0.85;0.05;2;300
10.688807249069214;5;300;12;100;3;0.85;0.05;2;300
10.770057439804077;4;300;12;100;3;0.85;0.05;2;300
10.617386817932129;4;300;12;100;3;0.85;0.05;2;300
10.596097469329834;3;300;12;100;3;0.85;0.05;2;300
10.475626707077026;5;300;12;100;3;0.85;0.05;2;300
10.457596778869629;8;300;12;100;3;0.85;0.05;2;300
10.927603721618652;7;300;12;100;3;0.85;0.05;2;300
10.746493577957153;4;300;12;100;3;0.85;0.05;2;300
11.24297022819519;5;300;12;100;3;0.85;0.05;2;300
8.674988746643066;0;245;12;100;3;0.85;0.05;2;300
10.81920599937439;4;300;12;100;3;0.85;0.05;2;300
10.637285232543945;5;300;12;100;3;0.85;0.05;2;300
10.698076725006104;3;300;12;100;3;0.85;0.05;2;300
10.808908700942993;5;300;12;100;3;0.85;0.05;2;300
10.804660320281982;3;300;12;100;3;0.85;0.05;2;300
10.740760326385498;4;300;12;100;3;0.85;0.05;2;300
10.773298501968384;6;300;12;100;3;0.85;0.05;2;300
0.3306150436401367;0;10;12;100;3;0.85;0.05;2;300
10.867881536483765;5;300;12;100;3;0.85;0.05;2;300
10.882698774337769;6;300;12;100;3;0.85;0.05;2;300
10.770185470581055;10;300;12;100;3;0.85;0.05;2;300
10.793437480926514;4;300;12;100;3;0.85;0.05;2;300
10.743373394012451;4;300;12;100;3;0.85;0.05;2;300
10.786357164382935;7;300;12;100;3;0.85;0.05;2;300
10.889129638671875;4;300;12;100;3;0.85;0.05;2;300
10.933455467224121;3;300;12;100;3;0.85;0.05;2;300
10.806904315948486;5;300;12;100;3;0.85;0.05;2;300
10.887501955032349;8;300;12;100;3;0.85;0.05;2;300
10.910306692123413;4;300;12;100;3;0.85;0.05;2;300
10.915332078933716;4;300;12;100;3;0.85;0.05;2;300
8.153505325317383;0;225;12;100;3;0.85;0.05;2;300
10.780983209609985;5;300;12;100;3;0.85;0.05;2;300
10.817521095275879;6;300;12;100;3;0.85;0.05;2;300
10.810030937194824;3;300;12;100;3;0.85;0.05;2;300
10.965522050857544;6;300;12;100;3;0.85;0.05;2;300
11.122201919555664;6;300;12;100;3;0.85;0.05;2;300
11.147648334503174;4;300;12;100;3;0.85;0.05;2;300
10.950016021728516;6;300;12;100;3;0.85;0.05;2;300
10.970616340637207;4;300;12;100;3;0.85;0.05;2;300
11.249149084091187;5;300;12;100;3;0.85;0.05;2;300
10.886560678482056;7;300;12;100;3;0.85;0.05;2;300
11.451013565063477;2;300;12;100;3;0.85;0.05;2;300
11.079732418060303;2;300;12;100;3;0.85;0.05;2;300
10.875121116638184;5;300;12;100;3;0.85;0.05;2;300
10.837055206298828;6;300;12;100;3;0.85;0.05;2;300
11.0458505153656;5;300;12;100;3;0.85;0.05;2;300
11.118800640106201;4;300;12;100;3;0.85;0.05;2;300
11.803898811340332;6;300;12;100;3;0.85;0.05;2;300
10.865336894989014;7;300;12;100;3;0.85;0.05;2;300
10.554725646972656;9;300;12;100;3;0.85;0.05;2;300
11.023790121078491;1;300;12;100;3;0.85;0.05;2;300
10.726369380950928;2;300;12;100;3;0.85;0.05;2;300
10.667963027954102;10;300;12;100;3;0.85;0.05;2;300
10.995120525360107;3;300;12;100;3;0.85;0.05;2;300
10.820622444152832;8;300;12;100;3;0.85;0.05;2;300
10.787206649780273;7;300;12;100;3;0.85;0.05;2;300
10.751078367233276;5;300;12;100;3;0.85;0.05;2;300
3.9042537212371826;0;108;12;100;3;0.85;0.05;2;300
10.630096435546875;4;300;12;100;3;0.85;0.05;2;300
10.56688904762268;5;300;12;100;3;0.85;0.05;2;300
10.803982734680176;4;300;12;100;3;0.85;0.05;2;300
10.716317892074585;6;300;12;100;3;0.85;0.05;2;300
10.698097705841064;4;300;12;100;3;0.85;0.05;2;300
10.707130908966064;3;300;12;100;3;0.85;0.05;2;300
10.716255903244019;6;300;12;100;3;0.85;0.05;2;300
10.89868450164795;5;300;12;100;3;0.85;0.05;2;300
6.847879409790039;0;187;12;100;3;0.85;0.05;2;300
10.930506706237793;3;300;12;100;3;0.85;0.05;2;300
10.450270891189575;4;300;12;100;3;0.85;0.05;2;300
10.922138690948486;4;300;12;100;3;0.85;0.05;2;300
10.86866021156311;4;300;12;100;3;0.85;0.05;2;300
10.554693937301636;4;300;12;100;3;0.85;0.05;2;300
10.432374477386475;6;300;12;100;3;0.85;0.05;2;300
10.662678956985474;5;300;12;100;3;0.85;0.05;2;300
10.55846905708313;6;300;12;100;3;0.85;0.05;2;300
10.474384069442749;5;300;12;100;3;0.85;0.05;2;300
10.68278455734253;2;300;12;100;3;0.85;0.05;2;300
10.836395263671875;8;300;12;100;3;0.85;0.05;2;300
10.501022815704346;3;300;12;100;3;0.85;0.05;2;300
10.398865461349487;3;300;12;100;3;0.85;0.05;2;300
10.445379972457886;7;300;12;100;3;0.85;0.05;2;300
10.375205993652344;5;300;12;100;3;0.85;0.05;2;300
10.364472389221191;4;300;12;100;3;0.85;0.05;2;300
10.297561168670654;5;300;12;100;3;0.85;0.05;2;300
10.362645626068115;2;300;12;100;3;0.85;0.05;2;300
10.260343790054321;3;300;12;100;3;0.85;0.05;2;300
10.4850013256073;5;300;12;100;3;0.85;0.05;2;300
10.280876636505127;6;300;12;100;3;0.85;0.05;2;300
10.18424129486084;4;300;12;100;3;0.85;0.05;2;300
10.210912942886353;5;300;12;100;3;0.85;0.05;2;300
10.314802885055542;4;300;12;100;3;0.85;0.05;2;300
10.35033106803894;4;300;12;100;3;0.85;0.05;2;300
10.498465061187744;3;300;12;100;3;0.85;0.05;2;300
10.167378664016724;7;300;12;100;3;0.85;0.05;2;300
10.488041162490845;4;300;12;100;3;0.85;0.05;2;300
10.283198595046997;6;300;12;100;3;0.85;0.05;2;300
15.359325408935547;6;300;12;150;3;0.85;0.05;2;300
15.51080870628357;5;300;12;150;3;0.85;0.05;2;300
15.33482050895691;3;300;12;150;3;0.85;0.05;2;300
15.430990219116211;5;300;12;150;3;0.85;0.05;2;300
15.328229188919067;4;300;12;150;3;0.85;0.05;2;300
15.449755430221558;2;300;12;150;3;0.85;0.05;2;300
15.55722451210022;5;300;12;150;3;0.85;0.05;2;300
15.839598655700684;5;300;12;150;3;0.85;0.05;2;300
15.926066875457764;7;300;12;150;3;0.85;0.05;2;300
15.824995040893555;4;300;12;150;3;0.85;0.05;2;300
16.520190238952637;3;300;12;150;3;0.85;0.05;2;300
7.281679630279541;0;140;12;150;3;0.85;0.05;2;300
15.730843782424927;5;300;12;150;3;0.85;0.05;2;300
15.721298217773438;7;300;12;150;3;0.85;0.05;2;300
15.788615465164185;5;300;12;150;3;0.85;0.05;2;300
15.801313161849976;6;300;12;150;3;0.85;0.05;2;300
15.659626245498657;6;300;12;150;3;0.85;0.05;2;300
15.653454780578613;5;300;12;150;3;0.85;0.05;2;300
15.882362127304077;3;300;12;150;3;0.85;0.05;2;300
15.834901332855225;4;300;12;150;3;0.85;0.05;2;300
15.624459743499756;5;300;12;150;3;0.85;0.05;2;300
5.940971612930298;0;114;12;150;3;0.85;0.05;2;300
15.820170879364014;3;300;12;150;3;0.85;0.05;2;300
15.666284084320068;6;300;12;150;3;0.85;0.05;2;300
15.624879837036133;3;300;12;150;3;0.85;0.05;2;300
15.684439897537231;4;300;12;150;3;0.85;0.05;2;300
15.850135087966919;5;300;12;150;3;0.85;0.05;2;300
16.754961490631104;6;300;12;150;3;0.85;0.05;2;300
16.163182735443115;5;300;12;150;3;0.85;0.05;2;300
16.816816568374634;7;300;12;150;3;0.85;0.05;2;300
17.029361486434937;3;300;12;150;3;0.85;0.05;2;300
16.222360134124756;4;300;12;150;3;0.85;0.05;2;300
16.378234386444092;3;300;12;150;3;0.85;0.05;2;300
16.12671971321106;4;300;12;150;3;0.85;0.05;2;300
0.11445808410644531;0;3;12;150;3;0.85;0.05;2;300
16.24709677696228;4;300;12;150;3;0.85;0.05;2;300
15.968407392501831;2;300;12;150;3;0.85;0.05;2;300
15.898838758468628;4;300;12;150;3;0.85;0.05;2;300
15.953261613845825;6;300;12;150;3;0.85;0.05;2;300
15.979956150054932;6;300;12;150;3;0.85;0.05;2;300
15.933760166168213;3;300;12;150;3;0.85;0.05;2;300
16.37615966796875;4;300;12;150;3;0.85;0.05;2;300
16.139044523239136;2;300;12;150;3;0.85;0.05;2;300
15.936230421066284;6;300;12;150;3;0.85;0.05;2;300
16.03997278213501;5;300;12;150;3;0.85;0.05;2;300
16.513802766799927;5;300;12;150;3;0.85;0.05;2;300
16.289563417434692;7;300;12;150;3;0.85;0.05;2;300
15.767145156860352;7;300;12;150;3;0.85;0.05;2;300
15.49999189376831;5;300;12;150;3;0.85;0.05;2;300
15.40758204460144;5;300;12;150;3;0.85;0.05;2;300
15.719582557678223;6;300;12;150;3;0.85;0.05;2;300
15.36989688873291;4;300;12;150;3;0.85;0.05;2;300
15.111632108688354;3;300;12;150;3;0.85;0.05;2;300
15.334468603134155;3;300;12;150;3;0.85;0.05;2;300
15.360731840133667;4;300;12;150;3;0.85;0.05;2;300
15.246115446090698;4;300;12;150;3;0.85;0.05;2;300
15.48754072189331;3;300;12;150;3;0.85;0.05;2;300
15.117950439453125;4;300;12;150;3;0.85;0.05;2;300
15.297839641571045;7;300;12;150;3;0.85;0.05;2;300
15.432394981384277;4;300;12;150;3;0.85;0.05;2;300
16.367860555648804;2;300;12;150;3;0.85;0.05;2;300
16.11624264717102;2;300;12;150;3;0.85;0.05;2;300
15.80544662475586;4;300;12;150;3;0.85;0.05;2;300
15.54403567314148;2;300;12;150;3;0.85;0.05;2;300
15.568234920501709;5;300;12;150;3;0.85;0.05;2;300
15.557493925094604;4;300;12;150;3;0.85;0.05;2;300
15.559853553771973;6;300;12;150;3;0.85;0.05;2;300
15.342397451400757;7;300;12;150;3;0.85;0.05;2;300
15.325303554534912;4;300;12;150;3;0.85;0.05;2;300
15.573331356048584;6;300;12;150;3;0.85;0.05;2;300
16.463233470916748;3;300;12;150;3;0.85;0.05;2;300
15.888274192810059;5;300;12;150;3;0.85;0.05;2;300
16.32892918586731;5;300;12;150;3;0.85;0.05;2;300
15.771432399749756;4;300;12;150;3;0.85;0.05;2;300
15.673366069793701;4;300;12;150;3;0.85;0.05;2;300
15.748690366744995;4;300;12;150;3;0.85;0.05;2;300
16.087438106536865;5;300;12;150;3;0.85;0.05;2;300
15.712151288986206;6;300;12;150;3;0.85;0.05;2;300
15.58778977394104;6;300;12;150;3;0.85;0.05;2;300
16.05198645591736;5;300;12;150;3;0.85;0.05;2;300
16.26323676109314;6;300;12;150;3;0.85;0.05;2;300
15.908496618270874;5;300;12;150;3;0.85;0.05;2;300
15.913579940795898;4;300;12;150;3;0.85;0.05;2;300
15.881477117538452;4;300;12;150;3;0.85;0.05;2;300
16.052035093307495;5;300;12;150;3;0.85;0.05;2;300
16.028557062149048;6;300;12;150;3;0.85;0.05;2;300
15.577435731887817;4;300;12;150;3;0.85;0.05;2;300
15.245590209960938;3;300;12;150;3;0.85;0.05;2;300
15.393632173538208;3;300;12;150;3;0.85;0.05;2;300
15.650115013122559;5;300;12;150;3;0.85;0.05;2;300
15.632865190505981;6;300;12;150;3;0.85;0.05;2;300
15.362030267715454;4;300;12;150;3;0.85;0.05;2;300
15.511075258255005;7;300;12;150;3;0.85;0.05;2;300
15.540082216262817;2;300;12;150;3;0.85;0.05;2;300
15.262415885925293;6;300;12;150;3;0.85;0.05;2;300
15.363596200942993;5;300;12;150;3;0.85;0.05;2;300
15.446342945098877;5;300;12;150;3;0.85;0.05;2;300
15.5676908493042;7;300;12;150;3;0.85;0.05;2;300
7.149208307266235;0;139;12;150;3;0.85;0.05;2;300
15.659757614135742;4;300;12;150;3;0.85;0.05;2;300
20.509767770767212;6;300;12;200;3;0.85;0.05;2;300
20.23564863204956;7;300;12;200;3;0.85;0.05;2;300
20.60644817352295;5;300;12;200;3;0.85;0.05;2;300
20.665297269821167;5;300;12;200;3;0.85;0.05;2;300
20.675769567489624;6;300;12;200;3;0.85;0.05;2;300
20.170878410339355;3;300;12;200;3;0.85;0.05;2;300
16.097481727600098;0;236;12;200;3;0.85;0.05;2;300
21.37001872062683;4;300;12;200;3;0.85;0.05;2;300
21.059545516967773;5;300;12;200;3;0.85;0.05;2;300
21.16944146156311;5;300;12;200;3;0.85;0.05;2;300
0.1535778045654297;0;3;12;200;3;0.85;0.05;2;300
21.15762209892273;3;300;12;200;3;0.85;0.05;2;300
21.13527250289917;6;300;12;200;3;0.85;0.05;2;300
21.31628704071045;2;300;12;200;3;0.85;0.05;2;300
21.364113330841064;4;300;12;200;3;0.85;0.05;2;300
21.884228706359863;3;300;12;200;3;0.85;0.05;2;300
21.299217462539673;5;300;12;200;3;0.85;0.05;2;300
21.43195128440857;3;300;12;200;3;0.85;0.05;2;300
20.86076021194458;4;300;12;200;3;0.85;0.05;2;300
13.382900714874268;0;188;12;200;3;0.85;0.05;2;300
21.671950340270996;4;300;12;200;3;0.85;0.05;2;300
20.967545747756958;3;300;12;200;3;0.85;0.05;2;300
0.28670787811279297;0;5;12;200;3;0.85;0.05;2;300
21.19430708885193;5;300;12;200;3;0.85;0.05;2;300
21.047290086746216;2;300;12;200;3;0.85;0.05;2;300
21.11602544784546;4;300;12;200;3;0.85;0.05;2;300
20.86801505088806;6;300;12;200;3;0.85;0.05;2;300
9.6927330493927;0;139;12;200;3;0.85;0.05;2;300
16.72935700416565;0;240;12;200;3;0.85;0.05;2;300
21.318124055862427;5;300;12;200;3;0.85;0.05;2;300
21.429266929626465;5;300;12;200;3;0.85;0.05;2;300
20.9662606716156;4;300;12;200;3;0.85;0.05;2;300
0.6704134941101074;0;10;12;200;3;0.85;0.05;2;300
20.90082097053528;5;300;12;200;3;0.85;0.05;2;300
20.86818814277649;2;300;12;200;3;0.85;0.05;2;300
21.05061912536621;3;300;12;200;3;0.85;0.05;2;300
21.157434940338135;3;300;12;200;3;0.85;0.05;2;300
15.600500583648682;0;216;12;200;3;0.85;0.05;2;300
21.279942274093628;6;300;12;200;3;0.85;0.05;2;300
21.519561052322388;5;300;12;200;3;0.85;0.05;2;300
21.616448640823364;4;300;12;200;3;0.85;0.05;2;300
20.804067134857178;5;300;12;200;3;0.85;0.05;2;300
20.880329847335815;6;300;12;200;3;0.85;0.05;2;300
20.935060501098633;4;300;12;200;3;0.85;0.05;2;300
3.8072500228881836;0;56;12;200;3;0.85;0.05;2;300
7.250449895858765;0;106;12;200;3;0.85;0.05;2;300
20.949486017227173;5;300;12;200;3;0.85;0.05;2;300
21.11354970932007;5;300;12;200;3;0.85;0.05;2;300
